Author,Work,Country/Language
Carlos Fuentes,A Change of Skin,Latin America
Carlos Fuentes,Terra Nostra,Latin America
"Andrade, Carlos Drummond de.","Travelling in the Family, tr. by Elizabeth Bishop, et al",Latin America
"James, C.L.R.",The Black Jacobins,The West Indies
"James, C.L.R.",The Future in the Present,The West Indies
"Naipaul, V.S.",A Bend in the River,The West Indies
"Naipaul, V.S.",A House for Mister Biswas,The West Indies
Derek Walcott,Collected Poems,The West Indies
Wilson Harris,The Guyana Quartet,The West Indies
Michael Thelwell,The Harder They Come,The West Indies
"Césaire, Aimé.",Collected Poetry,The West Indies
Chinua Achebe,Things Fall Apart,Africa
Wole Soyinka,A Dance of the Forest,Africa
Amos Tutuola,The Palm-Wine Drinkard and His Dead Palm-Wine Tapster in the Dead's Town,Africa
Christopher Okigbo,"Labyrinths, with Path of Thunder",Africa
"(Bekederemo), John Pepper Clark.",Casualties: Poems,Africa
"Armah, Ayi K.",The Beautiful Ones Are Not Yet Born,Africa
"Ngugi, Wa Tiong'o.",A Grain of Wheat,Africa
Gabriel Okara,The Fisherman's Invocation,Africa
Nadine Gordimer,Collected Stories,Africa
"Coetzee, J.M.",Foe,Africa
Athol Fugard,A Lesson from Aloes,Africa
"Senghor, Léopold S.",Selected Poems,Africa
"Narayan, R.K.",The Guide,India (in English)
Salman Rushdie,Midnight's Children,India (in English)
"Jhabvala, Ruth Prawer.",Heat and Dust,India (in English)
Malcolm Lowry,Under the Volcano,Canada
Robertson Davies,The Deptford Trilogy,Canada
Robertson Davies,The Rebel Angels,Canada
Alice Munro,Something I've Been Meaning to Tell You,Canada
Northrop Frye,Fables of Identity,Canada
"Hébert, Anne.",Selected Poems,Canada
Jac Macpherson,Poems Twice Told,Canada
Margaret Atwood,Surfacing,Canada
Daryl Hine,Selected Poems,Canada
"Miles Franklin, 1879-1954",My Brilliant Career,Australia and New Zealand
"Katherine Mansfield, 1888-1923",The Short Stories,Australia and New Zealand
"Hope, A.D.",Collected Poems,Australia and New Zealand
Patrick White,Riders in the Chariot,Australia and New Zealand
Patrick White,A Fringe of Leaves,Australia and New Zealand
Patrick White,Voss,Australia and New Zealand
Christina Stead,The Man Who Loved Children,Australia and New Zealand
Judith Wright,Selected Poems,Australia and New Zealand
Les A. Murray,The Rabbiter's Bounty,Australia and New Zealand
Les A. Murray,Collected Poems,Australia and New Zealand
Thomas Kennealy,The Playmaker,Australia and New Zealand
Thomas Kennealy,Schindler's List,Australia and New Zealand
David Malouf,An Imaginary Life,Australia and New Zealand
Kevin Hart,Peniel and Other Poems,Australia and New Zealand
Peter Carey,Oscar and Lucinda,Australia and New Zealand
Peter Carey,Illywhacker,Australia and New Zealand
"Robinson, Edwin Arlington.",Selected Poems,The United States
Robert Frost,The Poetry,The United States
"Edith Wharton, 1862–1937",Collected Short Stories,The United States
"Edith Wharton, 1862–1937",The Age of Innocence,The United States
"Edith Wharton, 1862–1937",Ethan Frome,The United States
"Edith Wharton, 1862–1937",The House of Mirth,The United States
"Edith Wharton, 1862–1937",The Custom of the Country,The United States
"Willa Cather, 1873-1947",My Antonia,The United States
"Willa Cather, 1873-1947",The Professor's House,The United States
"Willa Cather, 1873-1947",A Lost Lady,The United States
"Gertrude Stein, 1874–1946",Three Lives,The United States
"Gertrude Stein, 1874–1946",The Geographical History of America,The United States
"Gertrude Stein, 1874–1946",The Making of Americans,The United States
"Gertrude Stein, 1874–1946",Tender Buttons,The United States
Wallace Stevens,Collected Poems,The United States
Wallace Stevens,The Necessary Angel,The United States
Wallace Stevens,Opus Posthumous,The United States
Wallace Stevens,The Palm at the End of the Mind,The United States
Vachel Lindsay,Collected Poems,The United States
"Masters, Edgar Lee.",Spoon River Anthology,The United States
"Theodore Dreiser, 1871-1945",Sister Carrie,The United States
"Theodore Dreiser, 1871-1945",An American Tragedy,The United States
Sherwood Anderson,"Winesberg, Ohio",The United States
Sherwood Anderson,Death in the Woods and Other Stories,The United States
"Sinclair Lewis, 1885-1951",Babbitt,The United States
"Sinclair Lewis, 1885-1951",It Can't Happen Here,The United States
Elinor Wylie,Last Poems,The United States
"Williams, William Carlos.",Spring and All,The United States
"Williams, William Carlos.",Paterson,The United States
"Williams, William Carlos.",Collected Poems,The United States
Ezra Pound,Personae: Collected Poems,The United States
Ezra Pound,The Cantos,The United States
Ezra Pound,Literary Essays,The United States
Robinson Jeffers,Selected Poems,The United States
Marianne Moore,Complete Poems,The United States
H.D. (Hilda Doolittle).,Selected Poems,The United States
"Ransom, John Crowe.",Selected Poems,The United States
"Eliot, T.S.",The Complete Poems and Plays,The United States
"Eliot, T.S.",Selected Essays,The United States
"Porter, Katherine Anne.",Collected Stories,The United States
Jean Toomer,Cane,The United States
"Passos, John Dos.",U.S.A,The United States
Conrad Aiken,Collected Poems,The United States
"Eugene O'Neill, 1888-1953",Lazarus Laughed,The United States
"Eugene O'Neill, 1888-1953",The Iceman Cometh,The United States
"Eugene O'Neill, 1888-1953",Long Day's Journey into Night,The United States
"cummings, e.e.",Complete Poems,The United States
"Wheelwright, John B.",Collected Poems,The United States
Robert Fitzgerald,Spring Shade: Poems,The United States
Louise Bogan,The Blue Estuaries: Selected Poems,The United States
"Léonie Adams,",Poems: A Selection,The United States
Hart Crane,Complete Poems,The United States
Hart Crane,Selected Letters and Prose,The United States
Allen Tate,Collected Poems,The United States
"Fitzgerald, F. Scott, 1896-1940",Babylon Revisited and Other Stories,The United States
"Fitzgerald, F. Scott, 1896-1940",The Great Gatsby,The United States
"Fitzgerald, F. Scott, 1896-1940",Tender is the Night,The United States
William Faulkner,As I Lay Dying,The United States
William Faulkner,Sanctuary,The United States
William Faulkner,Light in August,The United States
William Faulkner,"Absalom, Absalom!",The United States
William Faulkner,The Sound and the Fury,The United States
William Faulkner,The Wild Palms,The United States
William Faulkner,The Collected Stories,The United States
William Faulkner,The Hamlet,The United States
Ernest Hemingway,Complete Short Stories,The United States
Ernest Hemingway,A Farewell to Arms,The United States
Ernest Hemingway,The Sun Also Rises,The United States
Ernest Hemingway,The Garden of Eden,The United States
John Steinbeck,The Grapes of Wrath,The United States
"Zora Neale Hurston,",Their Eyes Were Watching God,The United States
"Nathanael West, 1903-1940",Miss Lonelyhearts,The United States
"Nathanael West, 1903-1940",A Cool Million,The United States
"Nathanael West, 1903-1940",The Day of the Locust,The United States
Richard Wright,Native Son,The United States
Richard Wright,Black Boy,The United States
Eudora Welty,Collected Stories,The United States
Eudora Welty,Delta Wedding,The United States
Eudora Welty,The Robber Bridegroom,The United States
Eudora Welty,The Ponder Heart,The United States
Langston Hughes,Selected Poems,The United States
Langston Hughes,The Big Sea,The United States
Langston Hughes,I Wonder as I Wander,The United States
Edmund Wilson,The Shores of Light,The United States
Edmund Wilson,Patriotic Gore,The United States
Kenneth Burke,Counter-statement,The United States
Kenneth Burke,A Rhetoric of Motives,The United States
Joseph Mitchell,Up in the Old Hotel,The United States
Abraham Cahan,The Rise of David Levinsky,The United States
Kay Boyle,Three Short Stories,The United States
Ellen Glasgow,Barren Ground,The United States
"Marquand, John P.","H. M. Pulham, Esquire",The United States
"O'Hara, John.",Collected Stories,The United States
"O'Hara, John.",Appointment in Samarra,The United States
Henry Roth,Call It Sleep,The United States
Thornton Wilder,Three Plays,The United States
"Warren, Robert Penn.",All the King's Men,The United States
"Warren, Robert Penn.",World Enough and Time,The United States
"Warren, Robert Penn.",Selected Poems,The United States
Delmore Schwartz,Summer Knowledge: Selected Poems,The United States
Weldon Kees,Collected Poems,The United States
Elizabeth Bishop,The Complete Poems,The United States
John Berryman,Collected Poems,The United States
Paul Bowles,The Sheltering Sky,The United States
Randall Jarrell,Complete Poems,The United States
Charles Olson,The Maximus Poems,The United States
Charles Olson,Collected Poems,The United States
Robert Hayden,Collected Poems,The United States
Robert Lowell,Collected Poems,The United States
Theodore Roethke,Collected Poems,The United States
Theodore Roethke,Straw for the Fire,The United States
James Agee,Permit Me Voyage,The United States
James Agee,Let Us Now Praise Famous Men (with Walker Evans),The United States
Jean Garrigue,Selected Poems,The United States
May Swenson,New & Selected Things Taking Place,The United States
May Swenson,In Other Words,The United States
Robert Duncan,Bending the Bow,The United States
Richard Wilbur,New and Collected Poems,The United States
Richard Eberhart,Collected Poems,The United States
"Tolson, M.B.",Harlem Gallery,The United States
Kenneth Koch,Seasons on Earth,The United States
"O'Hara, Frank.",Selected Poems,The United States
James Schuyler,Collected Poems,The United States
James Baldwin,The Price of the Ticket,The United States
Saul Bellow,Seize the Day,The United States
Saul Bellow,The Adventures of Augie March,The United States
Saul Bellow,Herzog,The United States
John Cheever,The Stories,The United States
John Cheever,Bullet Park,The United States
Ralph Ellison,Invisible Man,The United States
Truman Capote,In Cold Blood,The United States
"McCullers, Carson.",The Ballad of the Sad Café,The United States
"McCullers, Carson.",The Heart Is a Lonely Hunter,The United States
"O'Connor, Flanner.",Complete Stories,The United States
"O'Connor, Flanner.",The Violent Bear It Away,The United States
"O'Connor, Flanner.",Wise Blood,The United States
Vladimir Nabokov,Lolita,The United States
Vladimir Nabokov,Pale Fire,The United States
Gore Vidal,Myra Brechinridge,The United States
Gore Vidal,Lincoln,The United States
William Styron,The Long March,The United States
"Salinger, J.D.",The Catcher in the Rye,The United States
"Salinger, J.D.",Nine Stories,The United States
Wright Morris,Ceremony in Lone Tree,The United States
Bernard Malamud,The Stories,The United States
Bernard Malamud,The Fixer,The United States
Norman Mailer,Advertisements for Myself,The United States
Norman Mailer,The Executioner's Song,The United States
Norman Mailer,Ancient Evenings,The United States
John Hawkes,The Cannibal,The United States
John Hawkes,Second Skin,The United States
William Gaddis,The Recognitions,The United States
Tennessee Williams,A Glass Menagerie,The United States
Tennessee Williams,A Streetcar Named Desire,The United States
Tennessee Williams,Summer and Smoke,The United States
Arthur Miller,Death of a Salesman,The United States
"Mayer, Edwin Justus.",Children of Darkness,The United States
Harold Brodkey,Stories in an Almost Classical Mode,The United States
Ursula K. Le Guin,The Left Hand of Darkness,The United States
Raymond Carver,Where I'm Calling From,The United States
Robert Coover,Spanking the Maid,The United States
Don DeLillo,White Noise,The United States
Don DeLillo,Libra,The United States
Don DeLillo,Running Dog,The United States
Don DeLillo,Mao II,The United States
John Crowley,"Little, Big",The United States
John Crowley,Aegypt,The United States
John Crowley,Love and Sleep,The United States
Guy Davenport,Tatlin!,The United States
James Dickey,The Early Motion,The United States
James Dickey,The Central Motion,The United States
E.L. Doctorow,The Book of Daniel,The United States
E.L. Doctorow,World's Fair,The United States
Stanley Elkin,The Living End,The United States
William Gass,In the Heart of the Country,The United States
William Gass,Omensetter's Luck,The United States
Russell Hoban,Riddley Walker,The United States
Denis Johnson,Angels,The United States
Denis Johnson,Fiskadoro,The United States
Denis Johnson,Jesus' Son,The United States
Cormac McCarthy,Blood Meridian,The United States
Cormac McCarthy,Suttree,The United States
Cormac McCarthy,Child of God,The United States
William Kennedy,Ironweed,The United States
William Kennedy,The Albany Cycle,The United States
Toni Morrison,Song of Soloman,The United States
Gloria Naylor,The Women of Brewster Place,The United States
Joyce Carol Oates,Them,The United States
Walker Percy,The Moviegoer,The United States
Grace Paley,The Little Disturbances of Man,The United States
Thomas Pynchon,V.,The United States
Thomas Pynchon,The Crying of Lot 49,The United States
Thomas Pynchon,Gravity's Rainbow,The United States
Cynthia Ozick,"Envy, or Yiddish in America",The United States
Cynthia Ozick,The Messiah of Stockholm,The United States
Ishmael Reed,Mumbo Jumbo,The United States
Philip Roth,Portnoy's Complaint,The United States
Philip Roth,My Life as a Man,The United States
Philip Roth,Zuckerman Bound: A Trilogy and Epilogue,The United States
Philip Roth,The Counterlife,The United States
Philip Roth,Patrimony,The United States
Philip Roth,Operation Shylock,The United States
James Salter,Solo Faces,The United States
James Salter,Light Years,The United States
Robert Stone,Dog Soldiers,The United States
Robert Stone,A Flag for Sunrise,The United States
John Barth,The Floating Opera,The United States
John Barth,The End of the Road,The United States
John Barth,The Sot-Weed Factor,The United States
Walter Abish,Alphabetical Africa,The United States
Walter Abish,How German Is It,The United States
Walter Abish,Eclipse Fever,The United States
Walter Abish,I am the Dust Under Your Feet,The United States
Donald Barthelme,Forty Stories,The United States
Donald Barthelme,The Dead Father,The United States
Thomas M. Disch,On Wings of Song,The United States
Paul Theroux,The Mosquito Coast,The United States
John Updike,The Witches of Eastwick,The United States
Kurt Vonnegut,Cat's Cradle,The United States
Edmund White,Forgetting Elena,The United States
Edmund White,Nocturnes for the King of Naples,The United States
James McCourt,Time Remaining,The United States
James Wilcox,Modern Baptists,The United States
A.R. Ammons,Collected Poems,The United States
A.R. Ammons,Selected Longer Poems,The United States
A.R. Ammons,Collected Poems,The United States
A.R. Ammons,Sphere: The Form of a Motion,The United States
John Ashbery,The Double Dream of Spring,The United States
John Ashbery,Houseboat Days,The United States
John Ashbery,Selected Poems,The United States
John Ashbery,Flow Chart,The United States
John Ashbery,Hotel Lautréamont,The United States
John Ashbery,And the Stars Were Shining,The United States
David Mamet,American Buffalo,The United States
David Mamet,Speed-the-Plow,The United States
David Rabe,Streamers,The United States
Sam Shepard,Seven Plays,The United States
August Wilson,Fences,The United States
August Wilson,Joe Turner's Come and Gone,The United States
Anthony Hecht,Collected Earlier Poems,The United States
Edgar Bowers,Living Together: New and Selected Poems,The United States
Donald Justice,Selected Poems,The United States
James Merrill,From the First Nine,The United States
W.S. Merwin,The Changing Light at Sandover,The United States
James Wright,Above the River: The Complete Poems,The United States
Galway Kinnell,Selected Poems,The United States
Philip Levine,Selected Poems,The United States
Irving Feldman,New and Selected Poems,The United States
Donald Hall,The One Day,The United States
Donald Hall,Old and New Poems,The United States
Alvin Feinman,Poems,The United States
Richard Howard,Untitled Subjects,The United States
Richard Howard,Findings,The United States
John Hollander,Reflections on Espionage,The United States
John Hollander,Selected Poetry,The United States
John Hollander,Tesserae,The United States
Gary Snyder,No Nature: New and Selected Poems,The United States
Charles Simic,Selected Poems,The United States
Mark Strand,Selected Poems,The United States
Mark Strand,The Continuous Life,The United States
Mark Strand,Dark Harbor,The United States
Charles Wright,The World of the Ten Thousand Things,The United States
Jay Wright,Dimensions of History,The United States
Jay Wright,The Double Invention of Komo,The United States
Jay Wright,Selected Poems,The United States
Jay Wright,Elaine's Book,The United States
Jay Wright,Boleros,The United States
Amy Clampitt,Westward,The United States
Allen Grossman,The Ether Dome and Other Poems: New and Selected,The United States
Howard Moss,New Selected Poems,The United States
James Applewhite,River Writing: An Eno Journal,The United States
"McClatchy, J.D.",The Rest of the Way,The United States
Alfred Cord,A Call in the Midst of the Crowd,The United States
Douglas Crase,The Revisionist,The United States
Rita Dove,Selected Poems,The United States
Thylias Moss,Small Congregations: New and Selected Poems,The United States
Edward Hirsch,Earthly Measures,The United States
Tony Kushner,Angels in America,The United States
